;ZnPENT_15mJ_211us_5ms_25Jul19_3.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_3.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_3.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_3.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_3.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_3.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_3.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_3.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_3.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_3.sgd;ZnPENT_15mJ_211us_5ms_25Jul19_3.sgd;
Wavelength [nm];Intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;
275,726;-5;171;384;519;467;444;377;489;380;370;459;
276,055;-16,505;311,93;493,29;466,27;525,48;391,27;353,99;468,87;431,77;455,33;511,73;
276,384;2,2683;332,68;474,14;538,32;556,44;532,14;472,28;487,27;457,86;503,96;494,73;
276,713;-12,649;391,83;506,17;510,83;557,25;479,28;415,53;531,94;493,3;544,8;527,17;
277,042;17,568;374,11;532,71;526,88;599,59;529,29;451,93;502,93;472,95;484,03;461,85;
277,371;-33,16;272,15;501,28;536,56;581,01;458,44;442,74;461,86;474,35;521,01;553,59;
277,701;-57,033;277,86;516,09;556,07;548,41;516,04;477,14;474,83;506,11;499,37;531,32;
278,030;-36,515;362,72;526,85;498,66;500,15;511,4;489,29;539,64;487,53;443,17;534,21;
278,359;-21,635;352,77;515,93;591,02;516,86;521,8;541,97;563;497,46;469,26;544,68;
278,688;-29,071;341,18;535,81;556,47;510,34;511,6;518,9;467,32;492,89;512,4;532,78;
279,017;-3,2285;439,55;501,58;561,42;506,41;501,94;517,06;489,25;518,71;493,23;551,48;
279,346;-13,839;416,88;498,2;553,74;510,81;501,81;517,94;507,88;512,9;526,83;559,6;
279,675;-57,201;388,55;550,83;505,41;515,58;512,66;498,44;501,8;502,68;534,52;560,11;
280,004;-55,318;443,17;558,39;529,18;507,58;494,29;543,32;532,91;548,18;490,49;525,73;
280,333;-5,2956;484,86;574,77;560,76;505,43;498,89;597,45;542,42;559,81;525,43;526,07;
280,662;44,584;498,7;619,1;540,05;569,47;527,7;581,73;532,27;544,25;550,8;577,9;
280,991;49,042;461,08;591,22;529,01;599,22;505,83;550,01;535,55;565,49;515,44;548,92;
281,320;-6,9776;435,34;552,97;563,35;520,51;521,8;538,46;576,81;560,84;538,26;545,71;
281,649;-64,799;354,96;527,53;575,88;524,52;477,61;556,14;575,26;558,15;504,44;560,34;
281,978;13,971;351,93;509,51;548,24;517,87;480,6;514,73;539,43;498,78;480,73;574,33;
282,307;38,342;416,65;546,32;538,78;492,94;473,23;458,61;477,7;489,95;529,24;544,65;
282,636;-51,882;416,31;478,03;524,41;518,6;503,4;468,9;515,07;458,8;502,74;560,34;
282,965;-0,25481;286,55;484,26;538;565,03;457,46;482,23;526,64;496,75;449,87;522,18;
283,294;-45,946;341,9;591,33;631,69;558,49;467,49;436,7;510,95;512,26;495,85;499,11;
283,623;4,5578;408,29;481,63;493,95;599,23;411,1;415,65;461,09;499,72;509,45;549,69;
283,952;-22,303;486,96;580,44;551,51;552,22;538,69;454,98;527,28;482,45;475,87;470,07;
284,281;20,915;371,27;518,53;486,66;510,82;446,7;428,9;480,41;434,35;504,9;454,92;
284,610;-3,704;478,28;514,89;488,26;533,92;486,47;460,96;436,78;475,68;469,47;505,83;
284,939;-36,855;385,37;544;515,44;501,17;497,12;468,41;481,47;443,47;488,88;482,14;
285,268;-34,688;412,49;555,5;443,63;526,68;532,12;538,87;488,38;476;465,38;525,74;
285,597;-42,261;439,21;520,73;483,88;535,54;487,52;490,95;482,6;506,61;463,63;546,26;
285,926;-42,075;454,97;533,4;480,53;508,21;495,4;507,83;528,53;543,71;437,95;538,76;
286,255;14,25;401,68;572,39;517,2;519,41;514,36;474,73;527,35;512,18;440,43;529,47;
286,584;11,046;413,06;513,84;555,85;588,16;542,4;491,71;545;492,35;441,45;515,95;
286,914;3,3151;401,3;504,26;539,79;548,07;491,6;483,35;527,3;507,24;401,21;539,26;
287,243;-12,487;415,15;550,89;524,71;498,59;470,92;502,56;531,47;506,19;447,57;531,82;
287,572;-30,114;447,34;559,84;544,5;529,83;496,04;475,5;555,29;542,4;489,37;516,76;
287,901;-21,261;496,93;569,01;536,11;571,23;505;464,07;540,96;545,88;457,52;505,38;
288,230;-21,192;520,17;552,4;514,03;550,77;517,09;503,1;515,18;508;434,1;524,37;
288,559;-37,443;478,97;510,07;522,26;528,92;535,66;512,59;534,47;512,07;444,4;545,6;
288,888;-6,5196;474,67;535,07;526,27;543,26;508,35;516,63;543,29;500,03;511,25;530,61;
289,217;15,785;499,35;549,39;523,37;552,05;472,24;494,71;502,45;485,65;579,07;562,63;
289,546;-61,286;496;528,74;520,29;600,56;497,69;487,71;516,85;537,74;533,42;564,86;
289,875;-46,518;510,66;552,6;529,85;588,22;479,36;478,07;515,96;567,01;501,76;571,34;
290,204;-6,1924;544,49;503,56;548,57;620,33;540,4;479,56;552,59;512,78;477,4;585,62;
290,533;-27,555;445,14;550,22;525,25;561,58;517,44;531,01;502,75;496,04;559,87;546,52;
290,862;-3,1251;461,75;516,37;568,5;603,87;544,25;518,12;543,37;565;537,75;620;
291,191;-53,729;468,86;489;540,44;564,98;502,81;465,97;488,59;516,85;523,75;554,66;
291,520;12,534;488,38;545,4;506,84;603,74;491,38;496,09;546,34;526,76;469,13;603,58;
291,849;-18,896;475,25;596,66;610,85;512,13;521,03;454,95;489,3;543,11;514,81;572,92;
292,178;5,1001;531,88;517,95;577,26;542,85;528,71;443,43;557,44;569,03;471,62;555,65;
292,507;-13,401;537,7;579,67;592,63;494,11;504,06;502,13;464,84;540,44;506,03;598,42;
292,836;-18,535;537,12;576,16;502,08;614,62;549,73;544,12;457;572,47;512,54;537,48;
293,165;-26,593;537,84;513,41;517,84;475,76;500,32;488,25;526,18;543,25;487,69;577,09;
293,494;3,3406;514,7;571,91;616,22;510,48;570,36;557,36;517,3;533,79;528,81;537,78;
293,823;-5,0341;528,85;615,72;586,32;490,11;525,1;476,21;491,38;511,62;544,58;548,14;
294,152;21,111;525,59;552,37;562,04;544,12;529,6;504,33;526,24;479,68;454,11;555;
294,481;5,6615;532,94;532,52;538,5;551,91;545,83;464,8;559,09;514,43;481,2;599,43;
294,810;-35,314;561,17;545,01;548,31;583,9;559,3;478,47;568,29;545,94;510;539,56;
295,139;9,963;519,68;568,71;551,15;570,99;542,67;532,18;542,44;534,5;500,95;514,92;
295,468;17,309;512,75;534,78;601,8;608,87;524,62;533,96;550,36;540,47;526,56;535,33;
295,797;-0,14461;573,75;563,94;629,81;607,3;518,86;520,52;560,57;546,14;527,96;554,62;
296,127;-30,735;587,23;592,04;584,07;550,91;527,61;499,71;579,58;539;514,74;573,29;
296,456;-30,159;572,43;553,67;546,45;545,1;559,09;488,54;551,29;543;517,23;573,34;
296,785;6,0483;567,64;570,44;558,57;562,89;561,58;524,01;498,8;533,05;486,56;529,04;
297,114;-26,564;537,71;587,15;579,36;583,65;541,66;556,82;535,29;507,36;479,32;513,16;
297,443;-33,644;553,23;569,63;559,7;592,13;565,24;560,65;553,19;535,39;503,96;543,93;
297,772;-19,963;604,6;581,49;532,28;567,77;573,99;535,24;556,88;609,56;457,99;472,43;
298,101;-26,875;600,94;553,23;527,12;552,33;565,28;470,69;546,84;586,85;470,84;494,27;
298,430;34,335;621,76;579,43;511,67;595,3;521,97;486,39;558,28;509,11;499,51;569,08;
298,759;40,936;527,31;535,57;526,3;525,29;519,82;517,32;528,03;563,94;517,17;564,45;
299,088;-34,526;540,73;593,97;548,75;558,63;530,51;532,27;608,79;596,71;527,68;499,99;
299,417;-60,319;517,83;564,85;556,41;573,1;546,16;550,35;504,38;542,13;588,72;622,96;
299,746;0,23217;515,77;621,34;580,1;604,33;599,56;503,32;521,74;501,74;520,28;528,81;
300,075;4,9525;511,65;505,16;541,54;569,65;570,26;551,14;577,58;517,16;485,15;565,47;
300,404;-1,7705;603,85;527,25;618,38;519,7;607,72;570,34;518,03;540,21;506,28;490,56;
300,733;-11,277;565,26;570,67;555,14;593,14;523,66;566,36;528,06;567,9;584;539,95;
301,062;5,7603;560,22;552,69;575,75;561,7;629,78;595,3;582,28;557,57;584,67;545,78;
301,391;-8,1232;531,15;575,46;614,64;605,37;531,14;474,26;586,45;580,61;560,24;536,67;
301,720;-44,98;585,06;553,3;604,01;561,41;632,36;506,21;585,19;548,59;524,45;567,36;
302,049;-46,075;558,99;567,78;588,46;565,16;608,67;511,31;535,75;545,39;529,31;527,29;
302,378;15,134;574,01;576,92;609,82;581,68;589,35;533,09;514,43;572,55;448,31;561,91;
302,707;6,6136;564,66;559,35;574,11;567,35;566,59;526,12;543,08;566,81;534,4;567,57;
303,036;-16,117;554,7;561,42;529,26;560,3;589,56;555,47;559,6;566,51;535,56;552,23;
303,365;6,5329;558,28;592,09;511,11;551,21;555,61;529,72;530,41;550,42;506,78;509,07;
303,694;24,572;594,2;580,52;536,62;603,39;578,53;547,37;513,86;540,86;503,14;542,82;
304,023;4,7408;570,48;572,26;569,73;603,82;557,62;545,21;534,66;536,6;503,67;617,46;
304,352;-31,764;550,22;561,77;552,84;584,76;516,33;525,84;575,2;576,43;511,93;574,88;
304,681;-55,09;559,37;585,44;485,46;590,82;507,28;549;572,28;603;520,27;516,63;
305,010;-3,1226;540,92;619,66;495,29;579,15;532,73;560,58;553,95;584,4;511,38;554,17;
305,340;46,927;539,88;593,63;589,91;589,13;608,5;552,11;548,69;577,72;493,87;559,94;
305,669;-3,3367;543;581,84;584,38;600,38;596,86;564,92;512,41;573,19;489,64;550,3;
305,998;-4,2975;541,51;552,97;528,89;605,43;556,8;599,04;550,8;589,28;500,77;603,75;
306,327;-20,498;538,77;562,84;543,91;609,14;544,01;575,27;597,7;540,32;546,78;588,23;
306,656;-35,635;533,99;572,97;572,02;621,87;576,41;594,39;579,55;551,16;560,39;585,78;
