;Pu2;Pu2;Pu2;Pu2;Pu2;Pu2;Pu2;Pu2;Pu2;Live Spectrum 25-Jul-19 2:57:58 PM;Live Spectrum 25-Jul-19 2:57:59 PM;Live Spectrum 25-Jul-19 2:58:00 PM;Live Spectrum 25-Jul-19 2:58:01 PM;Live Spectrum 25-Jul-19 2:58:02 PM;Live Spectrum 25-Jul-19 2:58:03 PM;Live Spectrum 25-Jul-19 2:58:04 PM;Live Spectrum 25-Jul-19 2:58:05 PM;Live Spectrum 25-Jul-19 2:58:06 PM;Live Spectrum 25-Jul-19 2:58:07 PM;Live Spectrum 25-Jul-19 2:58:08 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;Live Spectrum 25-Jul-19 2:58:09 PM;
Wavelength [nm];Intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;
275,726;-65;-42;248;363;349;348;378;359;361;314;349;246;341;440;434;412;-21;-23;82;-62;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;
276,055;3,0697;32,781;232,66;434,9;367,22;417,03;518,93;269,84;364,83;344,68;424,74;271,89;367,84;324,95;432,08;389,95;94,047;-16,289;13,93;-3,5176;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;-17,184;
276,384;44,537;-0,70149;292,56;446,26;457,92;372,29;484,63;406,38;388,86;276,27;494,98;359,25;476,35;422,76;418,24;509,2;9,9989;-12,33;33,938;-5,5877;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;-2,4843;
276,713;-46,637;19,659;283,98;340,97;405,54;423,21;511,67;427,76;379,61;333,09;487,86;352,98;392,24;456,54;480,97;460,41;21,278;-41,793;-5,1848;1,0102;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;29,67;
277,042;6,806;7,9687;282,84;400,32;422,05;504,49;521,85;427,33;424,76;408,81;500,2;356,01;387,35;429,94;515,05;453,67;14,814;-41,825;-7,6597;-38,084;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;4,7724;
277,371;8,8856;14,527;294,11;446,76;424,62;522,97;520,62;432,56;445,91;343,41;453,78;324,45;504,91;419,24;426,32;464,32;63,809;-8,4506;-10,969;-41,237;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;28,374;
277,701;-42,177;44,1;358,73;491,89;481,21;509,7;532,8;464,11;446,74;380,21;461,32;364,18;499,62;417,25;473,51;480,55;31,081;14,303;-61,683;-71,616;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;-50,568;
278,030;-56,577;22,398;395,37;545,99;527,04;527,06;570,45;446,96;408,99;433,16;467,29;478,92;431,07;461,83;471,38;462,23;13,865;-15,872;30,885;-16,527;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;-32,03;
278,359;21,115;23,411;338,97;428,22;472,28;489,06;537,06;444,05;459,04;366,53;467;458,65;431,47;486,04;472,4;464,4;45,858;-35,365;11,967;-47,669;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;-2,271;
278,688;38,228;-11,545;359,62;430,61;445,67;485,51;525,96;460,59;424,91;371,06;486,51;418,3;480,77;419,13;424,5;438,53;43,116;-22,263;5,5491;7,0891;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;31,955;
279,017;9,5259;-28,351;465,31;478,06;483,71;544,07;525,35;456,23;415,42;407,59;494,47;417,88;500,65;433,31;431,24;424,71;38,472;-9,4698;3,5259;-15,192;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;2,5194;
279,346;-25,534;-13,696;488,45;482,45;520,59;528,29;553,93;446,91;486,35;418,28;503,49;394,09;485,86;481,3;457,45;445,51;46,831;-48,595;-4,7161;-11,911;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;-32,189;
279,675;-20,698;-13,088;513,62;480,48;488,47;495,59;552,64;442,46;506,23;454,42;520,09;408,47;460,82;496,09;486,87;506,07;31,267;-73,38;12,176;-9,516;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;-53,239;
280,004;-11,425;-14,882;521,52;492,96;473,06;536,5;558,43;465,99;465,92;442,33;536,77;421,27;477,25;494,62;495,53;531,92;46,503;-34,685;15,763;-25,338;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;-60,367;
280,333;-1,6904;16,461;480,52;514,94;483,06;518,14;555,99;476,63;481,77;428,77;566,25;433,89;525,15;518,52;506,8;493,87;55,72;-18,823;45,586;-13,125;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;-56,336;
280,662;-9,3204;14,58;478,8;506,9;488,59;459,02;515,87;495,77;517,67;490,35;548,83;470,37;526,52;523,36;511,83;480,82;8,716;-51,817;82,448;-25,416;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;-34,497;
280,991;-55,03;-29,618;469,82;480,66;549,22;508,2;547,11;574,77;514,57;488,17;510,11;459,46;498,29;475,12;478,93;517,26;-0,26052;-44,084;27,714;-8,2878;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;-7,0797;
281,320;23,264;-12,252;461,4;476,08;533,64;546,4;540,53;552,45;526,75;439,03;553,34;477,62;480,83;456,74;524,59;531,96;9,523;6,4429;-10,668;0,12603;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;-45,019;
281,649;70,107;-20,359;419,39;453,71;487,59;525,45;503,87;497,56;475,42;406,39;528,69;439,13;439,92;372,93;475,52;445,62;10,355;4,3631;-2,2564;9,3931;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;11,551;
281,978;-12,517;11,909;417,57;421,94;559,92;473,96;498,08;516,87;518,26;412,85;531,01;421,33;417,22;450,46;481,62;401,27;-21,177;-45,788;-20;5,2976;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;57,767;
282,307;-28,401;-38,518;379,51;446,4;523,76;492,83;505,24;456,52;504,11;437,48;490,57;379,48;421,76;380,44;483,86;457,03;-21,144;-8,8639;-16,778;14,315;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;18,198;
