;Zn_15mJ_211us_5ms_25Jul19_3.sgd;Zn_15mJ_211us_5ms_25Jul19_3.sgd;Zn_15mJ_211us_5ms_25Jul19_3.sgd;Zn_15mJ_211us_5ms_25Jul19_3.sgd;Zn_15mJ_211us_5ms_25Jul19_3.sgd;Zn_15mJ_211us_5ms_25Jul19_3.sgd;Zn_15mJ_211us_5ms_25Jul19_3.sgd;Zn_15mJ_211us_5ms_25Jul19_3.sgd;Zn_15mJ_211us_5ms_25Jul19_3.sgd;Zn_15mJ_211us_5ms_25Jul19_3.sgd;Zn_15mJ_211us_5ms_25Jul19_3.sgd;
Wavelength [nm];Intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;
275,726;51;252;298;430;448;475;419;538;384;437;163;
276,055;63,463;360,34;338,27;513,41;405,82;502,8;440,09;461,3;349,49;383,31;236,82;
276,384;41,979;362,25;298,71;538,1;438,87;493,91;441;491,03;423,24;477,34;207,89;
276,713;17,217;432,1;357,22;472,53;489,32;460,58;461,15;451,06;427,37;453,58;294,38;
277,042;65,775;346,8;381,03;457,15;504,35;440,97;468,18;536,86;472,09;530,84;252,72;
277,371;39,481;381,19;393,53;468,7;478,21;473,72;508,69;547,06;453,21;473,96;290,43;
277,701;2,9004;364,14;373,42;520,18;471,75;501,07;567,93;496,82;476,86;526,51;290,96;
278,030;-6,7117;413,78;392,33;512,52;460,61;536,18;529,91;549,32;499,81;516,55;324,72;
278,359;64,08;394,41;388,25;525,8;490,87;495,03;486,54;538,11;490,92;577,43;278,98;
278,688;44,866;403,21;391,07;531,96;513,04;499,84;449,56;536,62;433,01;534,69;297,47;
279,017;31,828;479,84;415,24;507,23;503,64;478,58;442,83;558,77;440,07;543,89;284,23;
279,346;19,277;516,07;449,89;491,45;523,46;505,73;472,53;536,9;476,95;544,69;288,93;
279,675;-12,632;484,15;468,51;501,13;525,23;532,77;506,18;554,02;503,72;538,31;353,45;
280,004;-17,882;476,54;456,44;504,49;537,97;480,1;552,57;567,08;474;521,12;390,4;
280,333;45,287;501,12;476,8;481,3;546,87;481,59;565,81;537,12;462,43;512,89;398,79;
280,662;66,262;494,42;521,32;482,62;531,69;539,92;525,72;531,18;501,22;543,61;380,78;
280,991;4,4494;473,18;503,65;527,9;555,88;540,95;505,78;525,56;489,83;522,44;366,79;
281,320;44,717;458,68;486,44;540,48;530,24;544,84;496,63;528,43;494,94;547,97;421,59;
281,649;4,6538;430,67;486,45;513,32;566,03;535,37;508,61;510,82;443,85;545,99;385,5;
281,978;-8,5952;380,47;427,92;476,77;591,86;458,54;508,01;544,28;504,54;566,81;316,15;
282,307;-24,124;414,16;414,67;520,37;497,73;475,63;538,39;527,4;504,63;515,35;358,92;
282,636;3,8493;435,26;398,47;540,86;519,72;537,15;524,09;546,87;474,61;491,93;279,18;
282,965;-35,615;370,86;364,49;511,89;496,11;584,01;478,96;562,44;441,1;496,61;297,05;
283,294;63,214;455,94;373,07;484,07;526,13;547,17;463,68;483,11;443,13;648,35;277,42;
283,623;-49,4;504,65;438,43;502,05;545,68;549,89;523,94;486,18;462,13;454,81;251,14;
283,952;-12,946;483,55;282,06;504,93;586,93;543,17;459,67;558,13;469,8;503,73;259,78;
284,281;69,289;457,77;312,57;518,08;504,84;536,46;421,56;572,15;391,51;437,73;374,93;
284,610;8,8678;478,34;335,55;506,49;507,04;515,45;469,94;536,36;438,73;447,3;309,72;
284,939;-4,971;441,76;396;512,68;468,76;441,35;481,12;512,38;465,47;451,56;246,41;
285,268;25,684;494,31;389,75;527,81;497,75;454,18;451,13;510,62;508,81;471,5;212,63;
285,597;-10,218;409,22;381,37;467,72;486,71;451,51;487,99;513,32;410,73;535,42;254,85;
285,926;40,614;434,11;385,12;489,95;456,14;454,85;452,74;495,72;468,94;577,13;245,6;
286,255;35,684;456,07;412,55;539,53;560,26;515,7;486,8;528,37;436,39;523,15;259,79;
286,584;7,3976;471,3;376,54;492,59;557,69;499,09;519,75;542,75;481,11;552,21;292,1;
286,914;1,4384;457,05;397,94;491,31;530,83;535,13;519,51;539,78;480,77;504,36;318,02;
287,243;9,8291;445,85;368,81;538,18;517,2;514,38;508,03;511,68;494,27;521,15;323,02;
287,572;-18,83;456,46;394,3;524,7;481,16;538,72;538,47;529,59;466,38;527,07;366,52;
287,901;-9,4618;526,48;465,3;524,29;518,55;556,07;562,21;539,11;475,04;501,64;356,26;
288,230;14,093;550,81;469,97;543,81;565,33;501,49;537,33;531,35;496,37;525,51;327,52;
288,559;5,0304;500,41;471,92;516,16;549,26;524,8;507,41;532,83;445,41;542,52;360,63;
288,888;21,799;506,87;491,9;496;567,21;571,07;511,44;487,69;457,74;566,67;383,54;
289,217;18;479,46;484,52;525,05;555,72;560,45;526,72;489,44;480,61;593,63;414,43;
