;Live Spectrum 25-Jul-19 3:22:18 PM;Live Spectrum 25-Jul-19 3:22:29 PM;Live Spectrum 25-Jul-19 3:22:30 PM;Live Spectrum 25-Jul-19 3:22:31 PM;Live Spectrum 25-Jul-19 3:22:32 PM;Live Spectrum 25-Jul-19 3:22:33 PM;Live Spectrum 25-Jul-19 3:22:34 PM;Live Spectrum 25-Jul-19 3:22:35 PM;Live Spectrum 25-Jul-19 3:22:36 PM;Live Spectrum 25-Jul-19 3:22:37 PM;Live Spectrum 25-Jul-19 3:22:38 PM;
Wavelength [nm];Intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;
275,726;-18;272;460;470;352;475;386;410;450;421;395;
276,055;-31,422;326,65;521,36;500,68;310,77;467,33;440,65;478,07;448,08;409,5;489,91;
276,384;-11,814;371,21;546,94;524,94;374,15;515,63;506,31;507,61;557,19;468,64;483,91;
276,713;26,803;343,45;499,93;481,43;392,27;500,72;463,81;528,4;477,62;472,25;515,42;
277,042;0,26716;368,23;521,39;532,62;407,36;542,26;517,96;510,12;462,49;532,13;487,43;
277,371;-6,7939;394,64;495,24;517,8;403,65;520,04;530;567,92;506,46;455,88;441,31;
277,701;3,5387;437,64;530,66;545,63;492,33;492,43;486,34;520,77;514,24;521,07;504,77;
278,030;8,4233;435,06;593,39;533,52;438,02;496,67;481,25;527,04;501,61;495,2;530,42;
278,359;-16,481;387,42;466,82;518,64;422,78;538,55;518,53;506,48;536,56;536,7;549,11;
278,688;-21,446;358,19;443,47;558,8;449;500,98;523,04;540,73;508,16;484,91;497,57;
279,017;-32,886;437,14;515,54;571,06;453,7;524,48;517,18;562,94;565,9;516,02;489,65;
279,346;-48,378;414,45;525,75;548,32;439,6;545,39;541,53;567,3;587,69;517,82;553,33;
279,675;-66,176;389,02;539,38;562,82;490,74;542,66;583,28;549,69;548,91;498,82;572,28;
280,004;-51,15;437,91;556,44;570,32;535,51;541,97;582,66;522,67;535,95;533,31;575,01;
280,333;-13,332;461;562,79;588,19;494,11;548,64;568,03;547,58;561,25;543,15;541,56;
280,662;-12,75;495,33;540,78;566,78;477,4;561,52;561,15;570,82;605,38;534,33;463,85;
280,991;-31,931;512,12;485;494,2;513,85;519,25;529,77;542,18;589,22;513,1;470,56;
281,320;-38,034;488,56;528,18;543,31;503,78;497,74;537,3;555,12;521,12;515,3;511,73;
281,649;-11,65;478,91;527,17;499,53;453,39;515,39;537,22;589,36;483,88;538,1;569;
281,978;-18,263;491,39;542,81;611,79;471,79;525,15;535,44;522,5;592,46;492,49;556,47;
282,307;-4,463;435,64;494,03;583,28;492,62;572,75;535,03;511,05;508,48;543,84;510,75;
282,636;5,3219;413,55;489,97;618,15;430,63;506,06;523,51;548,28;477,04;509,76;504,17;
282,965;51,778;303,52;521,97;520,88;353,75;471,53;504,11;546,59;505,15;494,8;501,82;
