;ZnRDX_15mJ_211us_5ms_25Jul19_2.sgd;ZnRDX_15mJ_211us_5ms_25Jul19_2.sgd;ZnRDX_15mJ_211us_5ms_25Jul19_2.sgd;ZnRDX_15mJ_211us_5ms_25Jul19_2.sgd;ZnRDX_15mJ_211us_5ms_25Jul19_2.sgd;ZnRDX_15mJ_211us_5ms_25Jul19_2.sgd;ZnRDX_15mJ_211us_5ms_25Jul19_2.sgd;ZnRDX_15mJ_211us_5ms_25Jul19_2.sgd;ZnRDX_15mJ_211us_5ms_25Jul19_2.sgd;ZnRDX_15mJ_211us_5ms_25Jul19_2.sgd;ZnRDX_15mJ_211us_5ms_25Jul19_2.sgd;
Wavelength [nm];Intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;
275,726;-27;204;476;416;405;434;381;305;329;346;487;
276,055;69,832;256,73;526,81;413,12;419,38;346,76;411,68;400,87;336,67;397,77;521,51;
276,384;10,69;247,99;615,25;490,07;460,37;503,57;466,22;444,45;443,43;500,01;495,47;
276,713;77,731;317,1;516,97;457,57;519,21;522,38;540,23;469,03;406,56;438,02;521,04;
277,042;11,173;282,74;558,79;497,09;485,25;511,31;523,28;512,08;425,05;505,66;514,14;
277,371;60,305;326,4;586,67;512,35;503,99;509;502,12;473,95;495,89;470,19;524,7;
277,701;21,295;331,72;548,09;518,52;529,82;502,23;528,86;506,41;525,8;445,71;507,68;
278,030;4,4233;403,72;580,26;487,98;563,75;519,21;504,84;532,39;490,86;428,48;501;
278,359;7,0117;350,18;584,92;520,6;536,11;499,51;494,35;482,68;474,33;480;529,83;
278,688;33,179;375,72;560,38;539,22;517;455,79;477,12;523,35;464,56;519,96;566,66;
279,017;-14,955;425,59;574,12;474,05;511,12;542,14;495,42;547,7;530,19;551,71;523,52;
279,346;-7,0057;401,26;597,02;488,01;529,99;583,8;515,45;553,97;519,25;549,3;529,43;
279,675;9,1665;439,3;591,37;537,52;547,99;576,23;542,85;581,67;481,15;477,81;541,18;
280,004;12,315;486,64;556,34;545,98;526,53;578,64;539,75;573,6;519,99;482,63;516;
280,333;7,8086;489,37;556,01;547,21;516,15;585,19;512,21;538,39;568,82;538,12;530,43;
280,662;1,6206;492,46;598,98;506,95;544,73;585,41;553,82;548,54;588,02;536,95;556,9;
280,991;53,427;463,96;588,85;483,71;535,97;537,45;580;560,61;565,62;551,41;586,15;
281,320;19,237;480,78;565,46;549,17;499,27;519,16;531,4;543,88;529,86;512,19;595,97;
281,649;4,9784;456,66;579,75;567,92;522,96;462,21;506,8;579,56;522,99;468,95;531,74;
281,978;-47,606;403,91;548,74;524,26;504,54;470,84;458,37;455,55;530,62;483,44;517,74;
282,307;59,743;369,41;556,45;506,53;514,47;460,81;524,47;478,86;443,98;487,15;517,93;
282,636;-18,75;396,53;534,18;487,66;527,13;502,84;540,03;424,64;462,05;491,75;466,98;
282,965;8,5506;334,15;550,2;496,64;484,13;435,17;507,15;490,71;383,37;468,24;523;
283,294;-37,872;415,66;514,38;485,13;536,53;508,34;489,21;485,06;457,83;545,4;525,83;
283,623;30,368;359,84;505,29;503,29;461,64;465,78;474,63;436,08;406,12;403,63;571,2;
283,952;-8,0047;350,25;583,96;460,12;439,57;574,19;391,16;440,88;474,23;502,44;461,84;
284,281;14,359;312,63;570,12;546,83;496;461,14;460,95;438,2;489,08;518,08;550,57;
284,610;-6,3419;360,05;600,28;519,93;490,17;509,3;454,38;446,94;412,25;523,47;480,14;
284,939;47,298;328,47;487,14;456,29;451,47;501,5;445,32;469,33;409,82;453,2;487,21;
285,268;25,316;431,67;489,75;518,3;462,87;464,88;480,56;494,93;395,56;481,62;468,88;
285,597;25,717;382,91;571,4;514,16;439,99;497,9;529,9;433,63;456,83;466,3;525,74;
285,926;-86,067;352,96;576,45;462,67;474,41;547,29;512,75;470,3;478,19;453,88;519,14;
286,255;-18,88;405,94;578,98;450,14;474,12;476,05;550,34;517,24;416,15;449,24;521,05;
286,584;18,948;384,84;601,2;513,11;563,86;539,42;536,24;516;408,15;481,16;486,34;
286,914;0,8081;347,2;567,11;492,36;512,37;534,26;550,53;544,36;430,58;482,54;499,75;
287,243;-29,195;434,04;585,1;491,58;491,53;497,14;499,16;529,44;474,42;502,73;490,13;
287,572;-12,17;501,24;607,31;510,66;526;529,72;472,54;514,74;487,2;521,77;522,56;
287,901;-35,206;508,72;579,89;497,19;536,25;540,43;506,3;508,45;474,98;473,09;502,71;
288,230;-15,792;483,84;587,17;514,96;536,26;542,15;529,77;517,2;457,2;435,85;454,07;
288,559;45,238;466,1;589,31;556,37;533,59;566,19;572,02;553,63;433,59;487,91;492,33;
288,888;18,808;496,73;562,21;563,76;518,55;521,72;552,71;547,2;433;499,41;509,6;
289,217;47,124;515,24;590,22;540,27;486,57;468,87;482,18;537,22;461,07;459,48;524,59;
289,546;36,144;572,55;575,25;524,01;560,18;503,99;528;540,56;500,41;511,53;538,01;
289,875;20,815;520,89;525,01;565,22;625,96;484,16;525,95;518,56;473,91;456,35;548,33;
290,204;-20,821;480,38;558,96;610,89;590,23;506,16;517,33;509,85;514,86;524,1;543,45;
290,533;29,208;427,44;536,23;583,93;581,12;529,01;467,67;527,41;442,12;497,93;581,32;
290,862;9,625;459;589,75;532,88;513,5;522,37;561,25;574,12;470,5;440;589,75;
291,191;39,119;423,36;538,02;563,86;532,19;518,2;554,14;536,9;482,15;438,29;597,42;
291,520;9,5546;489,51;602,02;529,73;543,31;592,18;533,69;576,25;423,31;566,96;546,45;
291,849;42,725;436,39;580,57;524,13;507,25;510,15;526,97;517,28;515,79;480,2;512,92;
292,178;-20,624;525,65;482,67;553,88;564,84;544,7;521,22;582,55;467,8;525,31;494,68;
292,507;-24,848;503,13;537,2;544,84;549,45;523,83;523,77;516,64;373,62;480,81;519,87;
292,836;49,242;570,82;526,97;505,99;543,58;585,64;501,9;525,14;456,15;512,35;514,05;
293,165;78,405;504,07;525;555;556,5;489,38;494,78;528,69;447,75;477,35;539,15;
293,494;9,6755;506,88;635,09;499,1;501,14;506,97;519,72;537,04;479,36;516,61;532,75;
293,823;20,251;471,3;571,14;524,99;550,37;524,4;536,69;559,62;430,74;566,18;582,68;
294,152;2,2299;484,32;530,7;572,01;568,55;506,02;527,7;522,59;522,97;591,75;564,27;
294,481;11,137;484,43;556,07;585;481,88;500,05;546,24;591,43;568,42;586,06;576,97;
294,810;30,94;491,58;573,86;572,77;531,45;563,42;520,32;567,94;553,27;577,14;597,37;
295,139;20,703;487,14;578,41;568,41;587,64;558,16;506,04;533;513,82;556,29;605,02;
295,468;4,9273;505,36;577,18;582,4;558,75;565,82;528,6;543,15;531,2;529,91;547,25;
295,797;7,808;527,09;555,62;581;563,37;540,15;534,62;552,57;522,82;533,66;543,42;
296,127;32,384;511,58;512,84;538,59;552,3;554,92;506,68;550,13;519,96;565,38;562,65;
296,456;41,79;515,2;515,74;529,3;514,55;562,4;492,1;533,57;485,08;543,72;567,3;
296,785;2,3295;575,33;555,42;553,32;529,91;514,05;522,42;536,99;443,24;520,29;556,17;
297,114;-17,329;590,94;552,44;558,03;552,92;536,06;560,92;576,66;489,88;559,09;525,06;
297,443;11,809;539,22;551,71;561,02;557,86;513,57;577,22;587,92;476,22;539,72;572,56;
297,772;0,71534;542,02;563,75;523,52;547,84;532,1;566,07;557,9;524,52;510,28;554,43;
298,101;-11,022;530,92;561,51;556,57;566,12;555,35;518,69;542,98;547,04;521,53;552,02;
298,430;-29,611;519,4;630,1;555,64;580,69;530,74;541,57;585,26;496,61;548,46;550,64;
298,759;29,504;442,39;617,15;591,18;563,67;502,42;587,91;580,27;482,23;534,28;544,59;
299,088;20,462;513,11;616,43;577,35;569,04;549,69;542,16;515,9;538,79;565,47;492,31;
299,417;-18,888;503,7;537,03;547,93;610,94;483,6;575,16;551,98;444,62;533,28;567,62;
299,746;46;543,6;545,86;576,59;535,4;542,95;544,07;574,21;566,61;597,17;604;
300,075;45,966;556,35;502,5;527,29;523,5;542,46;525,22;598,46;538,16;538,79;563,06;
300,404;41,164;605,33;572,61;568,59;593,61;607,77;556,92;521,62;561,21;509,02;571,7;
300,733;12,243;487,33;510,06;548,66;560,75;500,54;520,89;522,71;562,93;519,13;559,94;
301,062;13,552;569,47;599,13;508,82;580,2;591,46;507,34;531,88;546,13;548,42;593,63;
301,391;-12,306;554,69;561,78;573,58;589,79;519,99;580,68;581,37;544;574,06;495,32;
301,720;18,598;544,34;500,41;522,08;510,09;567,3;619,08;564,11;514,07;548,87;496,42;
302,049;37,773;566,85;576,49;519,31;549,48;538,14;584,22;534,15;516,23;525,07;569,48;
302,378;-5,7235;594,44;624,17;552,2;534,88;561,5;513,6;523,35;567,18;549,2;595,11;
302,707;6,0052;580,59;605,07;587,17;558,22;585,36;585,92;548,24;545,64;565,52;598,38;
303,036;-1,1866;588,58;546,77;574,56;559,02;585,44;555,07;610,14;556,65;567,35;578,81;
303,365;-27,908;546,61;587,47;570,57;544,27;568,32;560,05;611,91;567,11;565,78;519,66;
303,694;1,5013;564,38;606,1;608,63;548,59;572,74;598,88;569,67;569,15;580,46;548,54;
304,023;19,271;534,29;591,13;591,95;553,4;562,74;540,89;530,81;549,54;558,95;565,28;
304,352;18,382;505,61;567,82;531,31;576,2;514,88;506,7;541,65;563,07;576,42;527,17;
304,681;17,094;545,18;561,09;531,9;578,73;536,26;570,08;583,63;583,46;575,83;555,26;
305,010;7,7365;530,51;545,8;581,27;575,25;608,55;623,64;572,6;585,1;546,65;593,55;
305,340;28,412;502,39;522,82;610,01;573,42;587,79;625,48;552,8;577,79;555,8;568,11;
305,669;31,444;532,53;561,21;577,29;532,16;531,67;584,38;594,44;526,72;523,19;574,19;
305,998;-4,9675;560,89;552,06;522,63;565,49;527,35;569,35;568,89;549,01;561,89;594,45;
306,327;19,166;554,05;585,61;572,1;552,73;527,43;624,12;461,03;578,1;555,99;554,55;
306,656;44,3;591,39;573;574,21;525,94;570,6;516,56;498,62;587,22;543,3;550,02;
306,985;76,681;546,04;577,86;546,94;587,46;599,78;562,46;604;576,12;573,16;526,82;
307,314;59,677;532,23;592,25;536,8;546,68;637,15;523,79;524,96;524,68;542,99;572,78;
307,643;64,908;560,65;547,75;567,33;567,38;522,62;557,78;549,21;538,35;549,1;598,84;
307,972;-30,868;584,75;572,13;629,81;597,6;627,79;599,87;607,83;517,19;550,94;518,63;
308,301;0,62278;594,82;572,4;596,69;472,85;536,25;597,41;663,73;552,03;565,21;527,83;
308,630;-14,754;546,77;507,05;584,2;507,45;587,18;573,38;611,83;634,68;573,86;521,11;
308,959;-1,7621;521,42;523,97;634,11;577,03;473,59;624,06;602,49;540,5;559,82;591,92;
309,288;-0,093407;597,97;587,55;548,15;581;594,83;529,09;596,56;525,03;584,38;637,7;
309,617;-8,6771;557,41;580,98;496,48;557,57;542,92;513,79;572,57;563,91;550,56;602,95;
309,946;14,034;580,66;538,39;552,99;515,88;624,99;586,76;582,26;590,72;546,66;576,28;
310,275;49,015;538,03;574,23;577,06;557,76;561,85;556,19;616,59;589,47;531,2;588,59;
310,604;-21,846;571,56;583;563,48;571,75;636,12;589,05;584,45;557,21;571,3;511,15;
310,933;10,39;585,58;624,72;566,54;555,62;585,4;569,11;546,79;534,89;590,27;560,19;
311,262;-1,6838;569,51;602,28;574,04;513,99;562,1;573,85;565,28;554,91;565,74;549,93;
311,591;-6,9458;555,66;560,79;557,6;555,37;556,21;603,94;551,72;544,79;595,51;592,17;
311,920;-12,508;592,5;538,47;557,72;531,82;575,61;610,64;547,32;543,91;581,88;577,97;
312,249;25,219;566,54;566,53;579,48;537,55;583,53;586,95;567,25;556,45;564,35;544;
312,578;40,758;517,78;571,2;591,52;524,82;543,36;569,45;579,07;535,65;600,53;559,03;
312,907;-2,9678;527,82;577,32;576,66;469,93;538,89;540,68;556,07;511,56;599,72;592,17;
313,236;-32,966;584,66;599,95;554,27;503,51;592,12;502,19;543,54;531,15;560,63;580,83;
313,565;0,59479;600,02;556,43;553,43;582,11;603,09;524,77;572,85;559,61;532,31;560,91;
313,894;25,664;571,62;530,8;572,45;595,74;571,64;571,73;586,09;567,81;518,35;567,29;
314,224;-27,753;567,22;575,35;569,2;559,73;569,38;596,19;583,92;571,83;546,49;536,66;
314,553;-15,564;481,73;586,3;544,88;538,41;576,3;614,08;578,84;574,45;571,16;562,71;
314,882;-10,663;515,41;606,6;586,26;508,39;574,77;524,52;569,07;604,09;597,51;553,58;
315,211;-35,328;552,57;571,45;575,01;550,52;513,52;573,57;613,76;576,16;594,25;542,63;
315,540;-12,986;576,14;557,83;541,68;567,24;581,03;516,35;571,76;581,86;584,52;599,02;
315,869;54,844;538,54;562,14;547,37;514,88;517,62;592,57;544;621,83;511,89;591,21;
316,198;-4,4368;574,07;589,84;567,95;545,69;537,26;570,19;476,58;603,8;504,16;514,47;
