;ZnTNT_15mJ_211us_5ms_25Jul19_3.sgd;ZnTNT_15mJ_211us_5ms_25Jul19_3.sgd;ZnTNT_15mJ_211us_5ms_25Jul19_3.sgd;ZnTNT_15mJ_211us_5ms_25Jul19_3.sgd;ZnTNT_15mJ_211us_5ms_25Jul19_3.sgd;ZnTNT_15mJ_211us_5ms_25Jul19_3.sgd;ZnTNT_15mJ_211us_5ms_25Jul19_3.sgd;ZnTNT_15mJ_211us_5ms_25Jul19_3.sgd;ZnTNT_15mJ_211us_5ms_25Jul19_3.sgd;ZnTNT_15mJ_211us_5ms_25Jul19_3.sgd;ZnTNT_15mJ_211us_5ms_25Jul19_3.sgd;
Wavelength [nm];Intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;intensity;
275,726;-26;125;430;438;453;466;491;431;350;341;431;
276,055;0,84438;50,219;457,8;585,64;419,44;499,56;467,03;480,85;381,64;505,9;407,03;
276,384;17,598;124,07;516,8;488,32;433,6;492,74;496,28;484,84;498,61;483,64;461,05;
276,713;7,6085;118,73;490,45;471,11;519,12;521,79;444,67;474,48;485,34;474,87;511,57;
277,042;37,733;134,54;477,65;485,03;528,49;440,82;531,36;546,49;496,2;530,79;505,47;
277,371;-25,068;125,3;544,27;566,59;477,19;470,84;525,39;580,05;443,43;493,57;498,24;
277,701;-6,1144;142,32;487,48;516,99;490,35;522,9;476,09;557,9;507,29;521,65;506,03;
278,030;24,503;164,66;496,45;587,23;513,23;553,08;569,46;553,98;482,47;519,34;519,67;
278,359;30,659;140,82;495,92;555,26;521,01;507,7;570,75;553,32;456,64;505,62;513,94;
278,688;1,0447;138,59;528,03;589,61;547,81;503,4;505,94;528,08;429,45;490,67;492,63;
279,017;39,894;148,94;522,76;547,63;562,41;526;540,6;523,41;420,3;471,64;466,53;
279,346;26,458;121,99;492,6;556,22;512,19;546,68;547,42;560,65;454,65;465,74;454,45;
279,675;12,365;132,93;519,95;572,52;488,72;560,53;537,24;554,61;524,55;501,92;446,91;
280,004;26,11;164,67;543,83;560,59;529,27;575,1;569,96;522,14;547,99;525,23;493,05;
280,333;26,823;206,56;519,12;564,11;545,82;569,48;589,82;527,21;513,12;539,89;533,63;
280,662;33,749;225,6;507,98;548,94;516,67;587,85;590,4;557,7;507,35;543,95;508,68;
280,991;12,849;181,6;533,12;572,44;513,92;618,91;561,43;584,84;541,46;508,04;530,12;
281,320;24,492;212,34;532,83;575,6;534,89;551,16;519,7;563,65;554,8;525,65;546,11;
281,649;23,607;199,68;470,86;606,92;495,91;574,13;520,82;520,62;509,56;508,69;507,52;
281,978;34,298;234,25;531,69;565,9;523,34;559,62;517,87;470,99;498,17;510,13;503,94;
282,307;45,284;197,23;595,85;568,26;515,09;541,3;489,36;511,97;450,41;485,18;488,68;
282,636;33,849;219,94;580,47;592,72;487,03;561,14;492,11;528,05;496,46;566,76;494,09;
282,965;-21,087;137,19;546;560,84;491,51;559,28;500,95;569,76;538,52;576,51;457,52;
283,294;-52,157;248,01;546,06;515,26;583,12;536,54;518,26;546,23;497,23;504,12;516,53;
283,623;60,421;363,82;546,56;553,09;485,95;578,32;506;500,24;501,58;456,9;491,51;
283,952;-35,512;291,87;519,7;558,85;543,51;537,07;506;514,63;537,08;511,58;461,77;
284,281;-9,0349;311,49;476,95;558,07;473,99;489,28;467,69;585,08;459,51;415,83;465,67;
284,610;8,1925;327,3;510,64;510,64;502,96;523,53;491,81;489,91;453,11;473,34;478,51;
284,939;-18,149;184,84;473,2;514,38;453,26;549,33;505,24;541,12;394,14;509,15;503,88;
285,268;15,183;280,24;569,17;510,31;532,55;579;563,06;522,75;471,74;527,81;483,63;
285,597;-12,272;278,67;511,97;544,5;530,62;520,95;557,48;544,55;421,77;501,67;476,46;
285,926;29,646;229,05;510,67;538,91;534,97;500,54;518,36;500,35;445,6;460,83;482,58;
286,255;25,519;227,81;504,5;547,5;522,42;526,24;483,21;504,48;462;518,06;523,68;
286,584;-5,8032;261,3;536,36;485,09;507,85;538;525,01;477,94;528,96;532,75;554,65;
286,914;7,9934;241,25;541,15;500,43;490,59;569,7;537,15;516,52;544,88;511,81;531,52;
287,243;26,845;278,19;563,44;521,48;546,88;550,16;492,85;526,68;510,37;506,85;524,52;
287,572;-4,8295;298,16;521,4;536,31;564,81;522,11;479,16;550,4;524,13;569,26;540,34;
287,901;-20,844;281,37;550,35;551,65;549,2;560,12;517,34;559,25;544,65;559,54;557,23;
288,230;-24,802;323,71;584,8;565,15;523,95;625,31;525,41;553,86;564,86;533,29;576,61;
288,559;-1,9865;349,45;547,2;564,35;525,86;610,54;513,44;587,81;577,23;555,31;544,47;
288,888;42,991;351,81;569,12;534,7;564,72;524,59;536,67;586,8;544,8;524,54;478,86;
289,217;-17,199;368,11;539,28;569,22;535,12;513,34;542,67;581,69;547,53;537,41;490,57;
289,546;-45,837;301,44;575;618,44;572,12;535,27;553,44;599,6;563,29;533,15;525,28;
289,875;1,9149;340,48;585,73;615,04;558,75;532,13;579,3;624,46;577,11;543,21;510,18;
